SiteID,Model,LAT,LONG,COMID,ElevCat,Precip8110Ws,Tmean8110Ws,WsAreaSqKm
EPA02-004,UT,39.7244,-113.918,10683176,2531.129068,705.3963017,2.11181241,31.761
EPA02-005,UT,39.7942,-113.885,10682632,2409.859385,1257.885847,7.21428355,87.921
FW08OR049,UT,43.052771,-117.694337,24541699,1113.311965,1331.850285,6.68821225,92.2563
WIDP99-0556,UT,45.465556,-115.407778,23540742,911.2738951,369.3901563,7.175804813,4.1409
WMTP04-R006,UT,47.87167,-113.43722,22965350,1354.072158,1850.66742,3.839881616,61.1505
WMTP99-0519,UT,45.52151,-106.32523,12754299,920.550969,589.0632943,3.017505361,31.1175
WMTP99-0525,UT,46.30586,-107.00076,13257583,789.0616139,791.3418485,7.097811295,14.8905
WMTP99-0587,UT,46.27264,-106.30125,13260265,763.9482229,803.0789602,3.482141606,20.3778
WMTP99-0611,UT,45.32087,-107.90763,12781155,1016.689435,612.0960696,4.98772274,237.4173
WORP99-0950,UT,43.986111,-123.640833,23889568,184.4025059,2066.103349,6.708432056,6.5133
WWAP99-0537,UT,47.915,-120.895556,23080874,890.5630369,927.335225,5.426225022,9.3744
WWAP99-0540,UT,47.82847,-120.64479,23080730,725.4557016,3841.298662,6.721275744,21.8736
WWAP99-0694,UT,47.522222,-120.478889,23080552,683.7446422,2099.723216,11.18136345,2.9133
WWAP99-0764,UT,47.854722,-120.680278,23080734,748.4220665,3349.753751,5.399959358,33.6825
WWYP99-0555,UT,41.69935,-106.89313,15981843,2042.534844,1350.18761,2.657767536,147.7116
