SiteID,Designatio,LAT,LONG,COMID,ElevCat,Precip8110Ws,Tmean8110Ws,WsAreaSqKm
HAWK-506,Cal,41.31219864,-123.0090027,8257801,1462.59,1438.89,7.54,25.9992
HAWK-507,Cal,41.44219971,-123.3479996,8257397,645.46,1822.09,10.11,250.1883
HAWK-509,Cal,40.66189957,-123.4919968,8232336,836.91,1335.88,11.37,50.8392
HAWK-51,Cal,42.02780151,-115.2160034,23284673,1806.71,554.79,5.13,117.8433
HAWK-511,Cal,40.63270187,-123.387001,8232448,852.17,1199.1,11.94,3.2517
HAWK-512,Cal,41.09840012,-122.7860031,8242392,1447.76,1809.05,8.34,29.0061
HAWK-514,Cal,32.90940094,-116.5749969,20332758,1287.72,713.99,12.9,58.9059
HAWK-515,Cal,32.83679962,-116.5360031,20325005,1112.1,651.47,12.5,92.6559
HAWK-516,Cal,33.74750137,-117.6389999,22561262,649.2,542.19,17.21,26.8092
HAWK-517,Cal,33.74649811,-117.6100006,22561262,649.2,542.19,17.21,26.8092
HAWK-520,Cal,32.69979858,-116.4800034,20325295,1071.82,534.29,13.2,121.6485
HAWK-521,Cal,33.47610092,-117.461998,20351601,385.39,506.17,17.57,167.5512
HAWK-523,Cal,32.76210022,-116.4509964,20325141,1326.84,645.97,12.15,33.9507
HAWK-524,Cal,32.86330032,-116.5149994,20324989,1184.89,639.95,12.1,41.5341
HAWK-525,Cal,33.42459869,-117.2480011,22548429,248.82,456.26,17.97,51.084
HAWK-527,Cal,32.67210007,-116.5680008,20325349,706.26,547.43,13.44,322.0146
HAWK-528,Cal,33.67459869,-117.5469971,20348207,584.04,562.49,16.71,31.7997
HAWK-53,Cal,42.07640076,-114.25,23184997,2073.13,719.78,5.15,12.2769
HAWK-530,Cal,33.38800049,-117.3259964,22548509,428.42,487.74,17.34,18.7497
HAWK-531,Cal,33.47290039,-117.4649963,20350739,349,522.28,17.04,34.7139
HAWK-532,Cal,32.79159927,-116.4950027,20325127,1214.27,647.99,12.66,31.1886
HAWK-533,Cal,33.08560181,-116.9160004,20330890,319.84,554.48,15.67,332.3718
HAWK-534,Cal,32.80739975,-116.4400024,20325057,1560.56,656.45,11.68,9.9477
HAWK-535,Cal,33.4917984,-117.2470016,22548207,422.69,490.03,17.92,6.8301
HAWK-536,Cal,33.45890045,-117.2910004,22548347,278.65,508.19,17.77,26.4798
HAWK-538,Cal,33.12599945,-116.8040009,20329660,738.51,637.67,15.23,42.093
HAWK-539,Cal,32.96300125,-116.663002,20332536,969.67,731.67,13.16,64.1736
HAWK-54,Cal,44.63980103,-111.2559967,24460782,2358.72,941.86,2.03,12.5622
