SiteID,Model,LAT,LONG,COMID,ElevCat,Precip8110Ws,Tmean8110Ws,WsAreaSqKm
PIBO:2207,PIBO,47.6335,-116.092556,24373552,979.0420483,2308.103219,11.4872278,2.2401
PIBO:2213,PIBO,47.839936,-113.122278,22966198,1837.623365,2630.293951,4.514725512,49.6872
PIBO:2217,PIBO,45.299056,-117.307694,23437389,1985.995478,463.7074752,5.458873816,9.234
PIBO:2229,PIBO,46.1945,-114.270917,24319904,1844.603985,697.021109,4.09973292,45.7128
PIBO:2257,PIBO,47.875861,-113.143694,22966518,1800.888643,1593.293082,4.25295528,65.9466
PIBO:2276,PIBO,47.749889,-113.496278,22965454,1714.339107,1201.134425,11.865339,1.9818
PIBO:2279,PIBO,46.561333,-113.702167,24309779,1516.741203,2476.611028,5.436756458,7.1208
PIBO:2282,PIBO,46.851639,-109.311958,12380281,1775.823999,2540.343798,7.925534674,2.502
PIBO:2306,PIBO,45.444833,-110.803694,4368130,2004.188271,560.1992175,4.207394689,56.0394
PIBO:2307,PIBO,46.098722,-114.633167,23573944,1180.738182,1079.925799,3.621993967,2.7639
PIBO:2308,PIBO,46.03075,-114.613,23573892,1735.018806,2111.572359,3.151708743,2.8269
PIBO:2309,PIBO,46.13354,-114.637555,23573964,1711.53431,766.5393111,5.236548341,41.7492
PIBO:2314,PIBO,46.052056,-114.640694,23573908,1634.757535,2255.853344,3.466872414,21.879
PIBO:2317,PIBO,45.248306,-111.067578,4367404,2670.501966,560.5500851,4.909989722,8.3259
PIBO:2319,PIBO,45.137583,-110.13125,2962500,2481.269208,912.7193624,6.225011043,2485.4607
