SiteCode,CaO_Mean,TP_Mean,Vol_ave,AtmCa,AtmNa,AtmNO3,AtmSO4,TMIN_WS,XWD_WS,RH_WS,PT_Tmin,AWC_soil,Db3rdbar,Kfact,Pct_Alfi,SOC,EVI_AveAve,Evergr_ave,alru_dom,Wb_mx_area,slpavg,GW_P_Sp_Mx,ER13,PPT_ACCUM,PPT_2MoAvg,DOY,Type,GIS_LAT,GIS_LONG
WCAP99-1079,5.47,0.14,0,0.031,0.056,0.276,0.126,-7.4,100,56.2,-25,0.0781,1.326,0.15,41.5,6.7529,2937,0.5997,0.0303,122558,0.1531,50,N,126218.6,517.8,190,REF,41.13503,-122.8037
WCAP99-1092,3.36,0.13,0,0.034,0.224,0.276,0.193,2,96,62,27,0.1193,1.37,0.28,0,9.0021,3696,0.5699,0.0313,0,0.2266,44,N,160128.7,65.3,226,REF,40.22275,-123.72062
WCAP99-1132,2.85,0.14,0,0.083,0.223,0.819,0.425,-81,60.5,42,-78,0.06,1.54,0.1,0,2.8547,2133,0.6215,0,52347,0.1502,105,N,23097.1,6.7,156,REF,34.13332,-116.84289
WCAP99-R001,5.23,0.13,0,0.061,0.222,0.705,0.354,4.2,34.5,49.2,28,0.126,1.472,0.3601,101.7,4.0717,2929,0.1556,0,0,0.1492,50,N,64193.8,2615.7,155,REF,34.50505,-119.27893
WCAP99-R003,3.36,0.13,0,0.034,0.316,0.251,0.216,0,99,63,2,0.0813,1.5049,0.1351,0,6.7086,3194,0.2729,0.0314,0,0.178,42,N,162782.4,755.2,218,REF,39.53821,-122.86167
WCAP99-R008,3.36,0.13,0,0.034,0.319,0.248,0.215,-0.4,97.6,63.2,-5,0.0816,1.549,0.1462,0,6.7701,3391,0.3022,0.0462,252,0.1649,76,N,163333.2,650.3,219,REF,39.49372,-122.8641
WCAP99-R011,5.05,0.14,0,0.032,0.084,0.279,0.139,-45,105.7,64.3,-15,0.0739,1.4361,0.2053,0,6.6163,2919,0.5748,0.086,46316,0.1877,38,N,161762.1,1562.5,268,REF,40.93566,-123.15576
WCAP99-R012,3.42,0.15,0,0.034,0.207,0.283,0.19,-9.1,83,60.1,-31,0.084,1.4175,0.2349,0,6.5215,3061,0.8264,0.0448,13033,0.1777,46,N,157171.5,991.1,260,REF,40.23868,-123.08257
WCAP99-R016,5.67,0.18,0,0.034,0.157,0.285,0.172,4,72.5,58.3,-17,0.0821,1.4507,0.1693,0,6.4843,2931,0.7492,0.0569,0,0.1432,33,N,134650.2,1084.9,259,REF,40.48849,-123.02803
WCAP99-R022,3.36,0.13,0,0.035,0.25,0.278,0.203,-33.5,110.5,64.3,0,0.0806,1.5647,0.1456,0,6.5502,2695,0.5661,0.025,1123,0.1349,51,N,209770.5,846.5,217,REF,39.98427,-123.05205
